state,county,tract,pop_tot,num_hh_tot,num_hh_1p,num_hh_2p,num_hh_3p,num_hh_4p,num_hh_5p,num_hh_6p,num_hh_7plus,geoid,usps,aland,awater,aland_sqmi,awater_sqmi,intptlat,intptlong
42,003,488200,3503,1334,429,294,249,260,83,10,9,42003488200,PA,2936297,281626,1.134,0.109,40.3909382,-79.8722394
42,003,496101,3003,1236,295,532,188,157,50,0,14,42003496101,PA,11880401,95831,4.587,0.037,40.2677954,-79.8170496
42,003,496102,4310,1831,393,869,279,180,76,22,12,42003496102,PA,32772300,330086,12.653,0.127,40.2472863,-79.8487133
42,003,496200,5754,2412,733,747,523,239,59,100,11,42003496200,PA,14504236,683193,5.6,0.264,40.2997187,-79.8121689
42,003,497000,1008,452,127,173,101,46,5,0,0,42003497000,PA,12427324,546532,4.798,0.211,40.2914072,-79.8599194
42,003,512800,1340,689,362,154,104,40,21,0,8,42003512800,PA,2095684,158717,0.809,0.061,40.4017394,-79.8537042
42,003,512900,1018,499,220,169,53,22,20,15,0,42003512900,PA,489058,0,0.189,0.0,40.4096465,-79.8647704
42,003,516100,1372,705,256,302,70,77,0,0,0,42003516100,PA,713472,0,0.275,0.0,40.4309181,-79.8886054
42,003,448000,1189,576,266,166,77,34,21,4,8,42003448000,PA,2590828,454542,1.0,0.175,40.5658588,-80.2137679
42,003,449000,2589,1045,277,365,163,171,38,23,8,42003449000,PA,5432767,548548,2.098,0.212,40.5556535,-80.2285609
42,003,451300,7555,2688,396,1080,427,452,293,0,40,42003451300,PA,31157000,0,12.03,0.0,40.4886631,-80.1860032
42,003,456003,6895,2541,668,684,402,413,269,93,12,42003456003,PA,31732014,0,12.252,0.0,40.3550876,-80.1743843
42,003,458000,8106,3869,1393,1553,355,375,151,15,27,42003458000,PA,35158377,125515,13.575,0.048,40.4005664,-80.1332935
42,003,459101,1746,691,184,265,96,85,36,0,25,42003459101,PA,6225252,268187,2.404,0.104,40.4961375,-80.1399601
42,003,461000,993,565,271,195,74,18,7,0,0,42003461000,PA,3965383,2109202,1.531,0.814,40.5066796,-80.1138435
42,003,141100,1300,603,245,192,82,45,17,17,5,42003141100,PA,1223263,163168,0.472,0.063,40.4196414,-79.9075532
42,003,180700,1991,939,406,275,132,69,40,16,1,42003180700,PA,393380,0,0.152,0.0,40.4246544,-80.0012997
42,003,191100,2438,1277,559,445,180,62,22,9,0,42003191100,PA,1601312,0,0.618,0.0,40.4354639,-80.0248302
42,003,210700,2223,1212,634,319,148,111,0,0,0,42003210700,PA,722950,0,0.279,0.0,40.4555033,-80.0250515
42,003,220600,1805,1013,605,229,108,44,0,27,0,42003220600,PA,430172,0,0.166,0.0,40.4560667,-80.0104244
42,003,260200,2080,996,440,331,105,68,52,0,0,42003260200,PA,1433975,7193,0.554,0.003,40.4922785,-80.0176758
42,003,310300,997,409,117,154,70,37,7,10,14,42003310300,PA,2046498,0,0.79,0.0,40.3879253,-79.9225468
42,003,429700,2095,1017,383,390,124,60,60,0,0,42003429700,PA,3135561,0,1.211,0.0,40.4992455,-80.0339351
42,003,455000,1505,651,178,261,101,76,24,7,4,42003455000,PA,1215301,0,0.469,0.0,40.400165,-80.1871511
42,003,020300,1212,821,498,297,17,9,0,0,0,42003020300,PA,1594963,326538,0.616,0.126,40.4544996,-79.9812762
42,003,120400,721,325,153,87,5,80,0,0,0,42003120400,PA,437417,0,0.169,0.0,40.4653377,-79.9104505
42,003,151700,5477,2469,792,893,408,326,50,0,0,42003151700,PA,1189444,0,0.459,0.0,40.423951,-79.93312
42,003,290200,4486,1869,806,434,207,180,95,66,81,42003290200,PA,1453894,0,0.561,0.0,40.399366,-79.983831
42,003,430200,4486,1992,770,530,329,203,130,30,0,42003430200,PA,1760368,0,0.68,0.0,40.519881,-80.0374467
42,003,451102,5497,1977,718,719,225,281,21,13,0,42003451102,PA,5963556,323804,2.303,0.125,40.5218403,-80.1969462
42,003,464400,3262,1581,852,228,285,127,59,30,0,42003464400,PA,1727533,163590,0.667,0.063,40.471413,-80.0588329
42,003,470400,2793,1320,498,443,152,195,32,0,0,42003470400,PA,1793646,0,0.693,0.0,40.3685522,-80.0874685
42,003,472100,2219,1192,542,443,87,82,25,13,0,42003472100,PA,549884,0,0.212,0.0,40.3991547,-80.0359259
42,003,473601,3731,1566,486,493,231,299,52,0,5,42003473601,PA,2077709,0,0.802,0.0,40.3843926,-80.0618136
42,003,475200,4972,2031,515,751,342,302,69,43,9,42003475200,PA,4716595,0,1.821,0.0,40.3240203,-80.0560086
42,003,488100,2097,906,292,334,142,39,84,5,10,42003488100,PA,1696487,0,0.655,0.0,40.3867404,-79.8876823
42,003,489001,4633,2099,663,878,251,185,98,24,0,42003489001,PA,3730331,0,1.44,0.0,40.3295086,-79.9507145
42,003,492700,2289,892,270,287,145,75,84,0,31,42003492700,PA,3849220,603233,1.486,0.233,40.3012183,-79.8826541
42,003,492800,2221,1148,570,266,213,94,5,0,0,42003492800,PA,1642203,0,0.634,0.0,40.2920161,-79.8829046
42,003,070900,4278,2538,1431,819,231,57,0,0,0,42003070900,PA,803571,0,0.31,0.0,40.4520288,-79.9419504
42,003,101100,2573,1232,494,424,166,99,9,40,0,42003101100,PA,1049825,305757,0.405,0.118,40.4842661,-79.9493327
42,003,120700,882,378,236,62,25,0,31,0,24,42003120700,PA,514927,0,0.199,0.0,40.4594311,-79.9039468
42,003,130600,2969,1391,766,277,153,62,43,81,9,42003130600,PA,1403868,0,0.542,0.0,40.4538672,-79.8752795
42,003,191900,2059,1004,401,319,169,86,29,0,0,42003191900,PA,608784,0,0.235,0.0,40.3962085,-80.0221667
42,003,432300,2229,1260,748,277,159,57,19,0,0,42003432300,PA,886333,0,0.342,0.0,40.5045859,-80.067854
42,003,451101,3659,1535,399,596,270,164,101,5,0,42003451101,PA,7357350,508148,2.841,0.196,40.5355169,-80.2181067
42,003,040900,3577,1507,577,438,156,269,67,0,0,42003040900,PA,912392,0,0.352,0.0,40.4332756,-79.9578957
42,003,160800,2570,1294,519,440,202,133,0,0,0,42003160800,PA,1029319,0,0.397,0.0,40.4209188,-79.9710862
42,003,130400,945,379,145,91,39,80,22,2,0,42003130400,PA,475088,0,0.183,0.0,40.4517671,-79.8882868
42,003,080400,1547,877,427,298,109,34,9,0,0,42003080400,PA,430386,0,0.166,0.0,40.4563358,-79.9459071
42,003,261400,2205,1082,633,162,97,132,58,0,0,42003261400,PA,1211702,0,0.468,0.0,40.4656583,-80.0120629
42,003,478200,5401,2122,688,638,266,229,111,165,25,42003478200,PA,2235373,0,0.863,0.0,40.3736172,-79.9720804
42,003,498000,2363,1168,473,387,172,112,24,0,0,42003498000,PA,3704812,146232,1.43,0.056,40.3216998,-79.8631576
42,003,512000,2383,1179,573,398,58,34,90,0,26,42003512000,PA,1279394,0,0.494,0.0,40.4047786,-79.8451101
42,003,561000,1321,624,286,184,92,41,0,10,11,42003561000,PA,568258,0,0.219,0.0,40.4364956,-79.8756774
42,003,419000,3032,1506,682,548,91,161,24,0,0,42003419000,PA,15230406,1165654,5.88,0.45,40.5451962,-79.8475852
42,003,413201,3699,1559,410,530,341,243,30,0,5,42003413201,PA,3779879,0,1.459,0.0,40.576021,-80.0406012
42,003,452000,5750,2396,769,735,272,467,136,17,0,42003452000,PA,83844872,0,32.373,0.0,40.478205,-80.2811449
42,003,465600,2670,1254,640,334,126,108,29,0,17,42003465600,PA,1010096,0,0.39,0.0,40.4385392,-80.0684327
42,003,475101,4682,2221,893,724,312,227,65,0,0,42003475101,PA,3134678,0,1.21,0.0,40.3469695,-80.04046
42,003,487000,1730,896,440,251,103,52,44,6,0,42003487000,PA,2507591,245512,0.968,0.095,40.3506484,-79.8901759
42,003,404000,1449,669,308,176,75,46,55,5,4,42003404000,PA,5887263,654837,2.273,0.253,40.592312,-79.7831014
42,003,051000,2130,778,429,279,25,39,6,0,0,42003051000,PA,646436,0,0.25,0.0,40.4443807,-79.9675197
42,003,513800,1869,789,383,151,151,92,5,7,0,42003513800,PA,1458665,214450,0.563,0.083,40.401736,-79.868622
42,003,521302,4461,2132,863,739,318,123,44,31,14,42003521302,PA,7970278,15818,3.077,0.006,40.4156159,-79.787208
42,003,521500,4078,1863,662,685,210,198,80,15,13,42003521500,PA,10486185,0,4.049,0.0,40.4435216,-79.7338347
42,003,523701,4065,1844,674,698,231,74,72,68,27,42003523701,PA,6549531,0,2.529,0.0,40.5041072,-79.8181392
42,003,523800,4670,2325,1103,727,223,194,39,39,0,42003523800,PA,4794537,329882,1.851,0.127,40.4918127,-79.8420202
42,003,262000,2559,1296,508,558,196,22,0,12,0,42003262000,PA,1647849,0,0.636,0.0,40.4671704,-79.9952121
42,003,260700,1514,696,239,265,99,54,31,8,0,42003260700,PA,671347,0,0.259,0.0,40.4817789,-80.0116946
